tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_ht,winner_age,loser_id,loser_name,loser_ht,loser_age,score,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2010-580,Australian Open,Hard,G,20100118,1,103819,Roger Federer,185.0,28.4462696783,104214,Igor Andreev,185.0,26.5160848734,4-6 6-2 7-6(2) 6-0,9.0,2.0,102.0,57.0,44.0,22.0,18.0,6.0,11.0,2.0,7.0,136.0,84.0,48.0,19.0,18.0,10.0,19.0,1.0,10550.0,37.0,1030.0
2010-580,Australian Open,Hard,G,20100118,2,103812,Victor Hanescu,198.0,28.4955509925,103428,Juan Ignacio Chela,190.0,30.3874058864,6-4 6-3 7-6(2),6.0,1.0,110.0,78.0,54.0,18.0,16.0,4.0,7.0,6.0,4.0,112.0,60.0,38.0,20.0,15.0,8.0,13.0,47.0,905.0,76.0,611.0
2010-580,Australian Open,Hard,G,20100118,3,103565,Stephane Robert,185.0,29.6728268309,103808,Potito Starace,188.0,28.514715948,6-3 7-6(2) 7-6(4),3.0,2.0,134.0,83.0,61.0,29.0,17.0,9.0,11.0,5.0,2.0,110.0,68.0,45.0,21.0,16.0,3.0,6.0,104.0,515.0,63.0,707.0
2010-580,Australian Open,Hard,G,20100118,4,103656,Albert Montanes,175.0,29.144421629,103169,Oscar Hernandez,180.0,31.7754962355,7-6(5) 2-2 RET,4.0,2.0,47.0,28.0,22.0,12.0,8.0,0.0,1.0,0.0,2.0,70.0,38.0,23.0,17.0,8.0,7.0,8.0,32.0,1185.0,71.0,633.0
2010-580,Australian Open,Hard,G,20100118,5,103720,Lleyton Hewitt,180.0,28.8980150582,104550,Ricardo Hocevar,180.0,24.7063655031,6-1 6-2 6-3,10.0,3.0,62.0,37.0,33.0,16.0,12.0,1.0,1.0,5.0,4.0,84.0,59.0,36.0,9.0,12.0,6.0,12.0,22.0,1600.0,194.0,245.0
2010-580,Australian Open,Hard,G,20100118,6,105385,Donald Young,183.0,20.4900752909,103294,Christophe Rochus,170.0,31.0937713895,1-6 7-5 6-2 6-4,6.0,6.0,130.0,70.0,50.0,29.0,19.0,10.0,15.0,4.0,6.0,108.0,68.0,45.0,16.0,18.0,2.0,6.0,195.0,244.0,85.0,575.0
2010-580,Australian Open,Hard,G,20100118,7,104571,Marcos Baghdatis,183.0,24.5886379192,103893,Paolo Lorenzi,183.0,28.0930869268,6-2 6-4 6-4,7.0,1.0,71.0,37.0,31.0,23.0,14.0,3.0,4.0,3.0,6.0,102.0,67.0,39.0,15.0,14.0,5.0,10.0,31.0,1215.0,83.0,580.0
2010-580,Australian Open,Hard,G,20100118,8,103970,David Ferrer,175.0,27.7973990418,104523,Frederico Gil,178.0,24.8213552361,6-0 6-0 2-0 RET,2.0,1.0,36.0,21.0,17.0,11.0,7.0,0.0,0.0,0.0,1.0,46.0,32.0,10.0,3.0,7.0,2.0,9.0,18.0,1825.0,68.0,645.0
2010-580,Australian Open,Hard,G,20100118,9,104269,Fernando Verdasco,188.0,26.1765913758,104958,Carsten Ball,198.0,22.5817932923,6-7(4) 7-6(1) 7-5 6-2,7.0,6.0,147.0,107.0,84.0,18.0,22.0,10.0,13.0,13.0,5.0,152.0,74.0,49.0,44.0,22.0,16.0,22.0,9.0,3300.0,129.0,420.0
2010-580,Australian Open,Hard,G,20100118,10,105079,Ivan Sergeyev,0.0,21.9958932238,104534,Dudi Sela,175.0,24.7912388775,6-3 7-6(3) 4-6 7-6(8),10.0,7.0,159.0,92.0,66.0,34.0,22.0,9.0,14.0,7.0,3.0,145.0,91.0,60.0,28.0,21.0,10.0,15.0,209.0,225.0,41.0,1006.0
2010-580,Australian Open,Hard,G,20100118,11,102905,Stefan Koubek,175.0,33.0431211499,104330,Rajeev Ram,193.0,25.8370978782,4-6 6-3 5-7 6-1 6-3,13.0,3.0,149.0,91.0,63.0,37.0,24.0,5.0,7.0,15.0,7.0,155.0,89.0,63.0,32.0,23.0,9.0,14.0,134.0,377.0,84.0,578.0
2010-580,Australian Open,Hard,G,20100118,12,104471,Ivan Dodig,183.0,25.0431211499,103507,Juan Carlos Ferrero,183.0,29.9329226557,2-6 1-6 6-4 6-1 6-1,19.0,5.0,136.0,82.0,55.0,25.0,20.0,8.0,13.0,5.0,3.0,129.0,84.0,57.0,19.0,19.0,6.0,12.0,185.0,260.0,23.0,1555.0
